,Serial No.,Time,Conc(UG/M3),Flow(l/m),AT(C),BP(PA),RHx(%),RHi(%),WS(M/S),WD(Deg),BV(V),Alarm,Station Loc
0,880,2015-07-11 05:30:00,10,2.0,27.5,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
1,879,2015-07-11 05:15:00,4,2.0,27.5,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
2,878,2015-07-11 05:00:00,3,2.0,27.5,86205,1.0,49.0,0.3,2.0,14.1,1,P23195
3,877,2015-07-11 04:45:00,4,2.0,27.5,86205,1.0,49.0,0.3,2.0,14.1,1,P23195
4,876,2015-07-11 04:30:00,3,2.0,27.5,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
5,875,2015-07-11 04:15:00,3,2.0,27.6,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
6,874,2015-07-11 04:00:00,3,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
7,873,2015-07-11 03:45:00,3,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
8,872,2015-07-11 03:30:00,3,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
9,871,2015-07-11 03:15:00,2,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
10,870,2015-07-11 03:00:00,3,2.0,27.8,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
11,869,2015-07-11 02:45:00,3,2.0,27.8,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
12,868,2015-07-11 02:30:00,3,2.0,27.9,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
13,867,2015-07-11 02:15:00,3,2.0,28.0,86205,1.0,48.0,0.3,2.0,14.1,1,P23195
14,866,2015-07-11 02:00:00,3,2.0,28.0,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
15,865,2015-07-11 01:45:00,3,2.0,28.1,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
16,864,2015-07-11 01:30:00,3,2.0,28.2,86244,1.0,49.0,0.3,2.0,14.1,1,P23195
17,863,2015-07-11 01:15:00,4,2.0,28.3,86244,1.0,49.0,0.3,2.0,14.1,1,P23195
18,862,2015-07-11 01:00:00,4,2.0,28.4,86264,1.0,49.0,0.3,2.0,14.1,1,P23195
19,861,2015-07-11 00:45:00,6,2.0,28.4,86283,1.0,49.0,0.3,2.0,14.1,1,P23195
20,860,2015-07-11 00:30:00,6,2.0,28.6,86283,1.0,48.0,0.3,2.0,14.1,1,P23195
21,859,2015-07-11 00:15:00,7,2.0,28.6,86283,1.0,49.0,0.3,2.0,14.1,1,P23195
22,858,2015-07-11 00:00:00,5,2.0,28.6,86303,1.0,49.0,0.3,2.0,14.1,1,P23195
23,857,2015-07-10 23:45:00,7,2.0,28.7,86322,1.0,49.0,0.3,2.0,14.1,1,P23195
24,856,2015-07-10 23:30:00,8,2.0,28.7,86322,1.0,49.0,0.3,2.0,14.1,1,P23195
25,855,2015-07-10 23:15:00,11,2.0,28.9,86322,1.0,49.0,0.3,2.0,14.1,1,P23195
26,854,2015-07-10 23:00:00,6,2.0,29.1,86322,1.0,48.0,0.3,2.0,14.1,1,P23195
27,853,2015-07-10 22:45:00,4,2.0,29.1,86303,1.0,49.0,0.3,2.0,14.1,1,P23195
28,852,2015-07-10 22:30:00,4,2.0,29.0,86303,1.0,49.0,0.3,2.0,14.1,1,P23195
29,851,2015-07-10 22:15:00,2,2.0,28.9,86303,1.0,49.0,0.3,2.0,14.1,1,P23195
30,850,2015-07-10 22:00:00,3,2.0,29.5,86283,1.0,49.0,0.3,2.0,14.1,1,P23195
31,849,2015-07-10 21:45:00,5,2.0,29.7,86244,1.0,48.0,0.3,2.0,14.1,1,P23195
32,848,2015-07-10 21:30:00,7,2.0,29.8,86225,1.0,48.0,0.3,2.0,14.1,1,P23195
33,847,2015-07-10 21:15:00,17,2.0,30.0,86225,1.0,48.0,0.3,2.0,14.1,1,P23195
34,846,2015-07-10 21:00:00,19,2.0,30.1,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
35,845,2015-07-10 20:45:00,24,2.0,30.2,86147,1.0,49.0,0.3,2.0,14.1,1,P23195
36,844,2015-07-10 20:30:00,27,2.0,30.2,86127,1.0,48.0,0.3,2.0,14.1,1,P23195
37,843,2015-07-10 20:15:00,24,2.0,30.3,86127,1.0,48.0,0.3,2.0,14.1,1,P23195
38,842,2015-07-10 20:00:00,24,2.0,30.4,86107,1.0,48.0,0.3,2.0,14.1,1,P23195
39,841,2015-07-10 19:45:00,21,2.0,30.4,86088,1.0,49.0,0.3,2.0,14.1,1,P23195
40,840,2015-07-10 19:30:00,20,2.0,30.5,86088,1.0,48.0,0.3,2.0,14.1,1,P23195
41,839,2015-07-10 19:15:00,23,2.0,30.7,86068,1.0,48.0,0.3,2.0,14.1,1,P23195
42,838,2015-07-10 19:00:00,21,2.0,31.1,86049,1.0,48.0,0.3,2.0,14.1,1,P23195
43,837,2015-07-10 18:45:00,20,2.0,31.5,86029,1.0,49.0,0.3,2.0,14.1,1,P23195
44,836,2015-07-10 18:30:00,26,2.0,32.0,86010,1.0,48.0,0.3,2.0,14.1,1,P23195
45,835,2015-07-10 18:15:00,17,2.0,32.6,85990,1.0,46.0,0.3,2.0,14.1,1,P23195
46,834,2015-07-10 18:00:00,11,2.0,33.3,85971,1.0,42.0,0.3,2.0,14.1,1,P23195
47,833,2015-07-10 17:45:00,6,2.0,33.9,85932,1.0,39.0,0.3,2.0,14.1,1,P23195
48,832,2015-07-10 17:30:00,7,2.0,34.9,85932,1.0,36.0,0.3,2.0,14.0,1,P23195
49,831,2015-07-10 17:15:00,7,2.0,36.9,85912,1.0,35.0,0.3,2.0,14.0,1,P23195
50,830,2015-07-10 17:00:00,7,2.0,37.3,85912,1.0,37.0,0.3,2.0,14.0,1,P23195
51,829,2015-07-10 16:45:00,14,2.0,35.5,85893,1.0,40.0,0.3,2.0,14.0,1,P23195
52,828,2015-07-10 16:30:00,10,2.0,35.2,85893,1.0,38.0,0.3,2.0,14.0,1,P23195
53,827,2015-07-10 16:15:00,10,2.0,36.6,85893,1.0,35.0,0.3,2.0,14.0,1,P23195
54,826,2015-07-10 16:00:00,12,2.0,37.7,85912,1.0,36.0,0.3,2.0,14.0,1,P23195
55,825,2015-07-10 15:45:00,12,2.0,37.2,85932,1.0,37.0,0.3,2.0,14.0,1,P23195
56,824,2015-07-10 15:30:00,8,2.0,36.6,85951,1.0,39.0,0.3,2.0,14.0,1,P23195
57,823,2015-07-10 15:15:00,11,2.0,36.5,85971,1.0,40.0,0.3,2.0,14.0,1,P23195
58,822,2015-07-10 15:00:00,10,2.0,35.4,85971,1.0,43.0,0.3,2.0,14.0,1,P23195
59,821,2015-07-10 14:45:00,11,2.0,34.1,85990,1.0,44.0,0.3,2.0,14.0,1,P23195
60,820,2015-07-10 11:30:00,16,2.0,36.1,86147,1.0,37.0,0.3,2.0,13.7,1,P23195
61,819,2015-07-10 11:15:00,13,2.0,36.4,86147,1.0,36.0,0.3,2.0,13.7,1,P23195
62,818,2015-07-10 11:00:00,20,2.0,36.6,86166,1.0,37.0,0.3,2.0,13.7,1,P23195
63,817,2015-07-10 10:45:00,28,2.0,36.2,86147,1.0,40.0,0.3,2.0,13.7,1,P23195
64,816,2015-07-10 10:30:00,27,2.0,35.5,86147,1.0,40.0,0.3,2.0,13.6,1,P23195
65,815,2015-07-10 10:15:00,26,2.0,35.3,86147,1.0,40.0,0.3,2.0,13.6,1,P23195
66,814,2015-07-10 10:00:00,25,2.0,35.5,86147,1.0,40.0,0.3,2.0,13.6,1,P23195
67,813,2015-07-10 09:45:00,20,2.0,35.0,86147,1.0,41.0,0.3,2.0,13.6,1,P23195
68,812,2015-07-10 09:30:00,26,2.0,35.0,86127,1.0,41.0,0.3,2.0,13.6,1,P23195
69,811,2015-07-10 09:15:00,23,2.0,34.8,86127,1.0,41.0,0.3,2.0,13.5,1,P23195
70,810,2015-07-10 09:00:00,19,2.0,35.4,86107,1.0,41.0,0.3,2.0,12.9,1,P23195
71,809,2015-07-10 05:15:00,1,2.0,25.8,86029,1.0,50.0,0.3,2.0,14.2,1,P23195
72,808,2015-07-10 05:00:00,1,2.0,25.8,86029,1.0,50.0,0.3,2.0,14.2,1,P23195
73,807,2015-07-10 04:45:00,1,2.0,25.7,86029,1.0,50.0,0.3,2.0,14.2,1,P23195
74,806,2015-07-10 04:30:00,0,2.0,25.6,86049,1.0,50.0,0.3,2.0,14.2,1,P23195
75,805,2015-07-10 04:15:00,0,2.0,25.6,86049,1.0,50.0,0.3,2.0,14.2,1,P23195
76,804,2015-07-10 04:00:00,0,2.0,25.5,86049,1.0,50.0,0.3,2.0,14.2,1,P23195
77,803,2015-07-10 03:45:00,0,2.0,25.5,86049,1.0,50.0,0.3,2.0,14.2,1,P23195
78,802,2015-07-10 03:30:00,1,2.0,25.5,86049,1.0,50.0,0.3,2.0,14.2,1,P23195
79,801,2015-07-10 03:15:00,1,2.0,25.5,86068,1.0,51.0,0.3,2.0,14.2,1,P23195
80,800,2015-07-10 03:00:00,1,2.0,25.6,86088,1.0,50.0,0.3,2.0,14.2,1,P23195
81,799,2015-07-10 02:45:00,1,2.0,25.6,86107,1.0,50.0,0.3,2.0,14.2,1,P23195
82,798,2015-07-10 02:30:00,0,2.0,25.6,86127,1.0,50.0,0.3,2.0,14.2,1,P23195
83,797,2015-07-10 02:15:00,1,2.0,25.7,86127,1.0,50.0,0.3,2.0,14.2,1,P23195
84,796,2015-07-10 02:00:00,3,2.0,25.8,86147,1.0,50.0,0.3,2.0,14.2,1,P23195
85,795,2015-07-10 01:45:00,2,2.0,25.8,86166,1.0,50.0,0.3,2.0,14.2,1,P23195
86,794,2015-07-10 01:30:00,2,2.0,26.0,86166,1.0,50.0,0.3,2.0,14.1,1,P23195
87,793,2015-07-10 01:15:00,3,2.0,26.3,86186,1.0,50.0,0.3,2.0,14.1,1,P23195
88,792,2015-07-10 01:00:00,2,2.0,26.5,86205,1.0,50.0,0.3,2.0,14.1,1,P23195
89,791,2015-07-10 00:45:00,2,2.0,26.9,86225,1.0,50.0,0.3,2.0,14.1,1,P23195
90,790,2015-07-10 00:30:00,2,2.0,27.1,86225,1.0,50.0,0.3,2.0,14.1,1,P23195
91,789,2015-07-10 00:15:00,1,2.0,27.0,86225,1.0,50.0,0.3,2.0,14.1,1,P23195
92,788,2015-07-10 00:00:00,2,2.0,27.0,86264,1.0,50.0,0.3,2.0,14.1,1,P23195
93,787,2015-07-09 23:45:00,2,2.0,27.0,86264,1.0,50.0,0.3,2.0,14.1,1,P23195
94,786,2015-07-09 23:30:00,7,2.0,27.1,86264,1.0,50.0,0.3,2.0,14.1,1,P23195
95,785,2015-07-09 23:15:00,2,2.0,26.9,86283,1.0,49.0,0.3,2.0,14.1,1,P23195
